madde,anlam
ön kesinti,"Ücretlerde, serbest meslek gelirlerinde ve sonraki yıllara devredilen taahhüt işlerinde ödemeler sırasında bu ödemelerin belirli bir kısmı ödemeyi yapanlarca tutulduktan sonra kişiler adına vergi dairelerine yatırılan miktar, stopaj"
izlemsel,"İzlem ile ilgili, stratejik"
izlemci,"İzlem oluşturan kimse, stratejist"
stratejist,İzlemci
tandans,Eğilim
teenage,343 ergenlik
teenager,343 ergen
sağaltıcı,Tedavici
terimler dizgesi,"Bir sanat kolunda, bilim dallarında veya teknik alanlarda özel olarak kullanılan terimlerin tümü, terminoloji"
yıldırı,"Yıldırma, cana kıyma ve malı yakıp yıkma, korkutma, tedhiş, terör"
yıldırıcı,Yıldıran kimse veya şey
yıldırıcılık,"Bir siyasi davayı zorla kabul ettirmek için karşı tarafa korku salacak, cana ve mala kıyacak davranışlarda bulunma, yıldırmacılık, terörcülük, tedhişçilik, terörizm"
baskı sayısı,"Gazete, kitap, dergi vb.nin bir defada basıldığı sayı, tiraj"
trade center,343 ticaret merkezi
sarsıntı bilimi,"Cerrahinin yara ve bereleri tedavi eden bölümü, travmatoloji"
yansılanım,"İnsan kulağının alamayacağı nitelikte olan yüksek frekanslı ses titreşimi, ultrason"
insanmerkezcilik,"İnsanı evrenin merkezi sayan, bütün öbür yaratıkların insan için yaratılmış olduklarını söyleyen dinî nitelikli öğreti, insaniçincilik, antroposantrizm"
toplummerkezcilik,"İnsanın kendisini evrenin merkezi sayma görüşü, toplumiçincilik"
yermerkezci,"Yerin gözlem noktası olarak alınan merkeziyle ilgili, yer özekçil, jeosantrik"
sarıçam,"Çamgillerden, genellikle Akdeniz Bölgesi'nde yetişen bodur, iğne yapraklı bir tür çam (Pinus sylvestris)"
tekrardan,343 tekrar tekrar
obskürantizm,"Egemen güçlerin kendi hoş görmediği kavramlara, kişilere, topluluklara ilişkin toplumun bilgi erişimini sistematik olarak kısıtlama çabası"
genotip,Soy yapısı
rayba,Pürüzalır
soyunabilmek,Soyunma ihtimali veya imkânı bulunmak
soyunabilme,Soyunabilmek işi
soyutlayabilmek,Soyutlama ihtimali veya imkânı bulunmak
soyutlayabilme,Soyutlayabilmek işi
stoklayabilmek,Stoklama ihtimali veya imkânı bulunmak
stoklayabilme,Stoklayabilmek işi
suçlayıvermek,Ayrıntılı düşünmeden suçlamak
suçlayıverme,Suçlayıvermek işi
suçlanabilmek,Suçlanma ihtimali bulunmak
suçlanabilme,Suçlanabilmek işi
sulayabilmek,Sulama ihtimali veya imkânı bulunmak
sulayabilme,Sulayabilmek işi
sulandırabilmek,Sulandırma ihtimali veya imkânı bulunmak
sulandırabilme,Sulandırabilmek işi
sunabilmek,Sunma ihtimali veya imkânı bulunmak
sunabilme,Sunabilmek işi
sunuvermek,Fırsat bulup sunmak
sunuverme,Sunuvermek işi
sunulabilmek,Sunulma ihtimali veya imkânı bulunmak
sunulabilme,Sunulabilmek işi
susuvermek,Ansızın susmak
susuverme,Susuvermek işi
susabilmek,Susma ihtimali veya imkânı bulunmak
susabilme,Susabilmek işi
susturuvermek,Çabucak susturmak
susturuverme,Susturuvermek işi
susturabilmek,Susturma ihtimali veya imkânı bulunmak
susturabilme,Susturabilmek işi
şahlanabilmek,Şahlanma ihtimali veya imkânı bulunmak
şahlanabilme,Şahlanabilmek işi
şakalaşabilmek,Şakalaşma ihtimali veya imkânı bulunmak
şakalaşabilme,Şakalaşabilmek işi
şaşırıvermek,Beklenmeyen bir durum karşısında şaşırmak
şaşırıverme,Şaşırıvermek işi
şaşırabilmek,Şaşırma ihtimali veya imkânı bulunmak
şaşırabilme,Şaşırabilmek işi
şaşırtabilmek,Şaşırtma ihtimali veya imkânı bulunmak
şaşırtabilme,Şaşırtabilmek işi
şaşabilmek,Şaşma ihtimali veya imkânı bulunmak
şaşabilme,Şaşabilmek işi
şımarabilmek,Şımarma ihtimali veya imkânı bulunmak
şımarabilme,Şımarabilmek işi
şımartabilmek,Şımartma ihtimali veya imkânı bulunmak
şımartabilme,Şımartabilmek işi
şişmanlayabilmek,Şişmanlama ihtimali veya imkânı bulunmak
şişmanlayabilme,Şişmanlayabilmek işi
şuurlanabilmek,Bilinçlenebilmek
şuurlanabilme,Bilinçlenebilme
takılıvermek,Ansızın veya çabucak takılmak
takılıverme,Takılıvermek işi
takınabilmek,Takınma ihtimali veya imkânı bulunmak
takınabilme,Takınabilmek işi
takıvermek,Çabucak takmak
takıverme,Takıvermek işi
takabilmek,Takma ihtimali veya imkânı bulunmak
takabilme,Takabilmek işi
taktırabilmek,Taktırma ihtimali veya imkânı bulunmak
taktırabilme,Taktırabilmek işi
tamamlayabilmek,Tamamlama ihtimali veya imkânı bulunmak
tamamlayabilme,Tamamlayabilmek işi
tamamlanabilmek,Tamamlanma ihtimali veya imkânı bulunmak
tamamlanabilme,Tamamlanabilmek işi
tamamlatabilmek,Tamamlatma ihtimali veya imkânı bulunmak
tamamlatabilme,Tamamlatabilmek işi
tanıyıvermek,Çabucak tanımak
tanıyıverme,Tanıyıvermek işi
tanıyabilmek,Tanıma ihtimali veya imkânı bulunmak
tanıyabilme,Tanıyabilmek işi
tanımlayıvermek,Çok çabuk veya kolayca tanımlamak
tanımlayıverme,Tanımlayıvermek işi
tanımlayabilmek,Tanımlama ihtimali veya imkânı bulunmak
tanımlayabilme,Tanımlayabilmek işi
tanınabilmek,Tanınma ihtimali veya imkânı bulunmak
tanınabilme,Tanınabilmek işi
tanışabilmek,Tanışma ihtimali veya imkânı bulunmak
tanışabilme,Tanışabilmek işi
tanıştırabilmek,Tanıştırma ihtimali veya imkânı bulunmak
tanıştırabilme,Tanıştırabilmek işi
tanıtılabilmek,Tanıtılma ihtimali veya imkânı bulunmak
tanıtılabilme,Tanıtılabilmek işi
tanıtabilmek,Tanıtma ihtimali veya imkânı bulunmak
tanıtabilme,Tanıtabilmek işi
tanıtıvermek,Hemen tanıtmak
tanıtıverme,Tanıtıvermek işi
tanıtlayabilmek,Tanıtlama ihtimali veya imkânı bulunmak
tanıtlayabilme,Tanıtlayabilmek işi
tapınabilmek,Tapınma ihtimali veya imkânı bulunmak
tapınabilme,Tapınabilmek işi
tapabilmek,Tapma ihtimali veya imkânı bulunmak
tapabilme,Tapabilmek işi
taptırabilmek,Taptırma ihtimali veya imkânı bulunmak
taptırabilme,Taptırabilmek işi
tarayabilmek,Tarama ihtimali veya imkânı bulunmak
tarayabilme,Tarayabilmek işi
taranabilmek,Taranma ihtimali veya imkânı bulunmak
taranabilme,Taranabilmek işi
taratabilmek,Taratma ihtimali veya imkânı bulunmak
taratabilme,Taratabilmek işi
tartılabilmek,Tartılma ihtimali veya imkânı bulunmak
tartılabilme,Tartılabilmek işi
tartışabilmek,Tartışma ihtimali veya imkânı bulunmak
tartışabilme,Tartışabilmek işi
tartabilmek,Tartma ihtimali veya imkânı bulunmak
tartabilme,Tartabilmek işi
tasarımlayabilmek,Tasarımlama ihtimali veya imkânı bulunmak
tasarımlayabilme,Tasarımlayabilmek işi
tasarlayabilmek,Tasarlama ihtimali veya imkânı bulunmak
tasarlayabilme,Tasarlayabilmek işi
tasarlanabilmek,Tasarlanma ihtimali veya imkânı bulunmak
tasarlanabilme,Tasarlanabilmek işi
taslayabilmek,Taslama ihtimali veya imkânı bulunmak
taslayabilme,Taslayabilmek işi
taşıyıvermek,Çok çabuk veya kısa sürede taşımak
taşıyıverme,Taşıyıvermek işi
taşıyabilmek,Taşıma ihtimali veya imkânı bulunmak
taşıyabilme,Taşıyabilmek işi
taşınabilmek,Taşınma ihtimali veya imkânı bulunmak
taşınabilme,Taşınabilmek işi
taşırabilmek,Taşırma ihtimali veya imkânı bulunmak
taşırabilme,Taşırabilmek işi
taşıtabilmek,Taşıtma ihtimali veya imkânı bulunmak
taşıtabilme,Taşıtabilmek işi
taşlayabilmek,Taşlama ihtimali veya imkânı bulunmak
taşlayabilme,Taşlayabilmek işi
taşayazmak,Neredeyse taşmak
taşayazma,Taşayazmak işi
taşıvermek,Ansızın veya çok kısa sürede taşmak
taşıverme,Taşıvermek işi
taşabilmek,Taşma ihtimali veya imkânı bulunmak
taşabilme,Taşabilmek işi
tatlandırabilmek,Tatlandırma ihtimali veya imkânı bulunmak
tatlandırabilme,Tatlandırabilmek işi
tadıvermek,Çabucak tatmak
tadıverme,Tadıvermek işi
tadabilmek,Tatma ihtimali veya imkânı bulunmak
tadabilme,Tadabilmek işi
tattırabilmek,Tattırma ihtimali veya imkânı bulunmak
tattırabilme,Tattırabilmek işi
tavlayabilmek,Tavlama ihtimali veya imkânı bulunmak
tavlayabilme,Tavlayabilmek işi
tekrarlayabilmek,"Tekrarlama ihtimali veya imkânı bulunmak, yineleyebilmek"
tekrarlayabilme,"Tekrarlayabilmek işi, yineleyebilme"
tekrarlanabilmek,"Tekrarlanma ihtimali veya imkânı bulunmak, yinelenebilmek"
tekrarlanabilme,"Tekrarlanabilmek işi, yinelenebilme"
tekrarlatabilmek,"Tekrarlatma ihtimali veya imkânı bulunmak, yineletebilmek"
tekrarlatabilme,"Tekrarlatabilmek işi, yineletebilme"
tezgâhlayabilmek,Tezgâhlama ihtimali veya imkânı bulunmak
tezgâhlayabilme,Tezgâhlayabilmek işi
tıkayıvermek,Çabucak tıkamak
tıkayıverme,Tıkayıvermek işi
tıkayabilmek,Tıkama ihtimali veya imkânı bulunmak
tıkayabilme,Tıkayabilmek işi
tıkanabilmek,Tıkanma ihtimali veya imkânı bulunmak
tıkanabilme,Tıkanabilmek işi
tıkıştırabilmek,Tıkıştırma ihtimali veya imkânı bulunmak
tıkıştırabilme,Tıkıştırabilmek işi
tıklayabilmek,Tıklama ihtimali veya imkânı bulunmak
tıklayabilme,Tıklayabilmek işi
tıklatabilmek,Tıklatma ihtimali veya imkânı bulunmak
tıklatabilme,Tıklatabilmek işi
tıkıvermek,Çabucak veya kısa sürede tıkmak
tıkıverme,Tıkıvermek işi
tıkabilmek,Tıkma ihtimali veya imkânı bulunmak
tıkabilme,Tıkabilmek işi
tırmalayabilmek,Tırmalama ihtimali veya imkânı bulunmak
tırmalayabilme,Tırmalayabilmek işi
tırmanabilmek,Tırmanma ihtimali veya imkânı bulunmak
tırmanabilme,Tırmanabilmek işi
tokalaşabilmek,Tokalaşma ihtimali veya imkânı bulunmak
tokalaşabilme,Tokalaşabilmek işi
tokuşturabilmek,Tokuşturma ihtimali veya imkânı bulunmak
tokuşturabilme,Tokuşturabilmek işi
toparlayabilmek,Toparlama ihtimali veya imkânı bulunmak
toparlayabilme,Toparlayabilmek işi
toplayabilmek,Toplama ihtimali veya imkânı bulunmak
toplayabilme,Toplayabilmek işi
toparlanabilmek,Toparlanma ihtimali veya imkânı bulunmak
toparlanabilme,Toparlanabilmek işi
toplayıvermek,Çabucak veya kısa zamanda toplamak
toplayıverme,Toplayıvermek işi
toplanıvermek,Çok çabuk veya kısa zamanda toplanmak
toplanıverme,Toplanıvermek işi
toplanabilmek,Toplanma ihtimali veya imkânı bulunmak
toplanabilme,Toplanabilmek işi
toplatabilmek,Toplatma ihtimali veya imkânı bulunmak
toplatabilme,Toplatabilmek işi
turlayabilmek,Turlama ihtimali veya imkânı bulunmak
turlayabilme,Turlayabilmek işi
tutuvermek,Çabucak tutmak
tutuverme,Tutuvermek işi
tutabilmek,Tutma ihtimali veya imkânı bulunmak
tutabilme,Tutabilmek işi
optimizasyon,En uygun duruma getirme
değerler dizisi,"Belirli bir alanda çalışan bilim adamlarının paylaştığı ortak değerler ve anlayışlar dizisi, paradigma"
aykırı düşünce,"Kökleşmiş inanışlara aykırı olarak ileri sürülen düşünce, paradoks"
parapent,Yamaç paraşütü
pasifikasyon,Etkisizleştirme
buluş belgesi,"Bir buluşun veya o buluşun kullanma hakkının bir kimseye ait olduğunu gösteren belge, patent"
çintemani,"Özellikle kumaşlara ve çinilere uygulanmış, ikisi altta biri üstte iç içe geçmiş halkalar ve şimşeği ifade eden iki yatık kıvılcımdan meydana gelen süsleme motifi, itayağı"
itayağı,Çintemani
erkendoğan,"Zamanından önce doğan (bebek), günsüz, prematüre"
geçdoğan,"Normal zamanından sonra doğan (bebek), postmatüre"
postmatüre,Geçdoğan
dolduruşçu,İnsanı dolduruşa getirmeyi alışkanlık edinen kimse
dolduruşçuluk,Dolduruşçu olma durumu
doldurboşalt,Oyunun son dakikalarında galip olan takım tarafından oyalama amacıyla topu uzun paslarla rakip kale önüne gönderme
torbacık,Küçük torba
daldırma çay,Sallama çay
demlik poşet,"Demlik için üretilen, içinde çay bulunan, ipsiz torbacık"
çay makinesi,Çay demlemek için üretilen elektrikli aygıt
overlokçu,Overlok yapan kimse
overlokçuluk,Overlok yapma işi
Beypazarı kurusu,Genellikle baklava dilimi biçiminde bir tür peksimet
periferi,Kıyı
playback,343 söylemseme
play-off,343 üst küme
ön doğru,"Bir bilimin kuruluşunda temel görevi görmekle birlikte belikten daha az olma ve tanımlanmayan ilkel gerçek, konut (II), koyut, postulat"
karmaca,"Sevilen müzik eserlerinden seçilmiş bölümlerin arka arkaya seslendirilmesiyle oluşan müzik parçası, potpuri"
düz hekim,"Mesleğinde uzmanlık belgesi almamış olan (kimse), pratisyen"
yansıtım aygıtı,"Bir film veya belgenin ışık kaynağından çıkan ışınlarla ekran veya perde üzerinde görüntüsünü oluşturulan alet, projektör"
yaymaca,Propaganda
puzzle,343 yapboz
sıra makinesi,"Banka, hastane, postane vb. yerlerde müşterilere veya hastalara sıra numarası veren makine"
ışın tedavisi,"X ışınlarının biyolojik etkisine dayanan tedavi yöntemi, radyoterapi"
rasist,Irkçı
rasizm,Irkçılık
rasyo,Oran
realizasyon,Gerçekleştirme
ikili sigorta,"Bir sigorta ortaklığının sigorta ettiği paranın bir bölümünü, olabilecek zarara karşı, başka bir ortaklığa yeniden sigorta ettirmesi işi, reasürans"
düzeltmeci,"Düzeltmecilik yanlısı, ıslahatçı, reformist"
düzeltmecilik,"Eldeki imkânlarla, ihtilale başvurmadan toplum düzeninin daha iyi duruma getirilebileceğini, sosyal adaletin sağlanabileceğini ileri süren siyasi sistem, ıslahatçılık, reformculuk"
değer katma,"Bir paranın değerini altına ve dövize göre yeniden ayarlama, revalüasyon"
röyalti,Telif hakkı
sağlıklama,"Halk sağlığını korumak ve hastalıkları önlemek için tasarlanan önlemler ve bunların uygulanması, sanitasyon"
sanitasyon,Sağlıklama
orta uç oyuncusu,"Futbolda ileri uçta, hücum hattının ortasında oynayan oyuncu, santrfor"
senkronizm,Eş zamanlılık
sensör,Duyarga
bileşimli,"Doğadaki örneklerine benzetilerek insan eliyle yapılmış veya üretilmiş, yapma, sentetik"
server,343 sunucu
siesta,343 öğle uykusu
ön izleme,Bir filmin gösterime girmeden önce seçilmiş bir grup tarafından izlenmesi
tanıtımcık,"Kısa, çarpıcı, akılda kalıcı tanıtım sözü, spot"
step,Hatalı yürüme
hatalı yürüme,"Basketbolda bir oyuncunun top elindeyken yerde zıplatmadan bir adımdan fazla yürümesi, step (II)"
biçemleme,"Biçemlemek işi, stilizasyon"
biçemlemek,Üslup kazandırmak
stilizasyon,Biçemleme
stoper,Kesici
gergevşet,"Birbirine yaklaşık bükülü vücut bölümlerini, gerici kasların çalışmasıyla birbirinden iyice uzaklaştırma"
stretching,343 gergevşet
ısı tedavisi,"Hastalığın iyileştirilmesi için herhangi bir biçimde ısı uygulamasıyla yapılan tedavi, termoterapi"
termoterapi,Isı tedavisi
topless,343 üstsüz
trankilizan,Yatıştırıcı
bitki nakli,"Bitkiyi bir yerden alıp başka bir yere dikme, transplantasyon"
triboloji,Sürtünme bilimi
sürtünme bilimi,"Sürtünme olaylarını inceleyen bilim dalı, triboloji"
tutturabilmek,Tutturma ihtimali veya imkânı bulunmak
tutturabilme,Tutturabilmek işi
tutuklayabilmek,Tutuklama ihtimali veya imkânı bulunmak
tutuklayabilme,Tutuklayabilmek işi
tutuklatabilmek,Tutuklatma ihtimali veya imkânı bulunmak
tutuklatabilme,Tutuklatabilmek işi
tutuluvermek,Çabucak tutulmak
tutuluverme,Tutuluvermek işi
tutulabilmek,Tutulma ihtimali veya imkânı bulunmak
tutulabilme,Tutulabilmek işi
tutunabilmek,Tutunma ihtimali veya imkânı bulunmak
tutunabilme,Tutunabilmek işi
tutuşuvermek,Çabucak tutuşmak
tutuşuverme,Tutuşuvermek işi
tutuşabilmek,Tutuşma ihtimali veya imkânı bulunmak
tutuşabilme,Tutuşabilmek işi
tutuşturabilmek,Tutuşturma ihtimali veya imkânı bulunmak
tutuşturabilme,Tutuşturabilmek işi
tutuşturuvermek,Çabucak tutuşturmak
tutuşturuverme,Tutuşturuvermek işi
ucuzlatabilmek,Ucuzlatma ihtimali veya imkânı bulunmak
ucuzlatabilme,Ucuzlatabilmek işi
uçabilmek,Uçma ihtimali veya imkânı bulunmak
uçabilme,Uçabilmek işi
uçuvermek,Çabucak uçmak
uçuverme,Uçuvermek işi
uçuruvermek,Çabucak uçurmak
uçuruverme,Uçuruvermek işi
uçurabilmek,Uçurma ihtimali veya imkânı bulunmak
uçurabilme,Uçurabilmek işi
uğrayabilmek,Uğrama ihtimali veya imkânı bulunmak
uğrayabilme,Uğrayabilmek işi
uğratabilmek,Uğratma ihtimali veya imkânı bulunmak
uğratabilme,Uğratabilmek işi
uğraşabilmek,Uğraşma ihtimali veya imkânı bulunmak
uğraşabilme,Uğraşabilmek işi
uğurlayabilmek,Uğurlama ihtimali veya imkânı bulunmak
uğurlayabilme,Uğurlayabilmek işi
uğurlanabilmek,Uğurlanma ihtimali veya imkânı bulunmak
uğurlanabilme,Uğurlanabilmek işi
ulaşılabilmek,Ulaşılma ihtimali veya imkânı bulunmak
ulaşılabilme,Ulaşılabilmek işi
ulaşabilmek,Ulaşma ihtimali veya imkânı bulunmak
ulaşabilme,Ulaşabilmek işi
ulaştırabilmek,Ulaştırma ihtimali veya imkânı bulunmak
ulaştırabilme,Ulaştırabilmek işi
ulaşıvermek,Çabucak veya kısa sürede ulaşmak
ulaşıverme,Ulaşıvermek işi
uluslaşabilmek,Uluslaşma ihtimali veya imkânı bulunmak
uluslaşabilme,Uluslaşabilmek işi
umabilmek,Umma ihtimali veya imkânı bulunmak
umabilme,Umabilmek işi
umutlanabilmek,"Umutlanma ihtimali veya imkânı bulunmak, ümitlenebilmek"
umutlanabilme,"Umutlanabilmek durumu, ümitlenebilme"
unutuvermek,Çabucak veya kısa sürede unutmak
unutuverme,Unutuvermek işi
unutabilmek,Unutma ihtimali veya imkânı bulunmak
unutabilme,Unutabilmek işi
unutturuvermek,Kolayca ve kısa sürede unutturmak
unutturuverme,Unutturuvermek işi
unutturabilmek,Unutturma ihtimali veya imkânı bulunmak
unutturabilme,Unutturabilmek işi
unutuluvermek,Kısa sürede unutulmak
unutuluverme,Unutuluvermek işi
unutulabilmek,Unutulma ihtimali veya imkânı bulunmak
unutulabilme,Unutulabilmek işi
utanabilmek,Utanma ihtimali veya imkânı bulunmak
utanabilme,Utanabilmek işi
uyandırabilmek,Uyandırma ihtimali veya imkânı bulunmak
uyandırabilme,Uyandırabilmek işi
uyanıvermek,Ansızın uyanmak
uyanıverme,Uyanıvermek işi
uyanabilmek,Uyanma ihtimali veya imkânı bulunmak
uyanabilme,Uyanabilmek işi
uyarılabilmek,Uyarılma ihtimali veya imkânı bulunmak
uyarılabilme,Uyarılabilmek işi
uyarlayabilmek,Uyarlama ihtimali veya imkânı bulunmak
uyarlayabilme,Uyarlayabilmek işi
uyarlayıvermek,Kısa sürede uyarlamak
uyarlayıverme,Uyarlayıvermek işi
uyarlanabilmek,Uyarlanma ihtimali veya imkânı bulunmak
uyarlanabilme,Uyarlanabilmek işi
uyarabilmek,Uyarma ihtimali veya imkânı bulunmak
uyarabilme,Uyarabilmek işi
uydurabilmek,Uydurma ihtimali veya imkânı bulunmak
uydurabilme,Uydurabilmek işi
uyduruvermek,Ansızın veya kısa sürede uydurmak
uyduruverme,Uyduruvermek işi
uydurulabilmek,Uydurulma ihtimali veya imkânı bulunmak
uydurulabilme,Uydurulabilmek işi
uygulayabilmek,Uygulama ihtimali veya imkânı bulunmak
uygulayabilme,Uygulayabilmek işi
uygulanabilmek,Uygulanma ihtimali veya imkânı bulunmak
uygulanabilme,Uygulanabilmek işi
uygulatabilmek,Uygulatma ihtimali veya imkânı bulunmak
uygulatabilme,Uygulatabilmek işi
uyuvermek,Kısa sürede uyum sağlamak
uyuverme,Uyuvermek işi
uyabilmek,Uyma ihtimali veya imkânı bulunmak
uyabilme,Uyabilmek işi
uyuyakalmak,Ansızın uyumak
uyuyakalma,Uyuyakalmak işi
uyuyabilmek,Uyuma ihtimali veya imkânı bulunmak
uyuyabilme,Uyuyabilmek işi
uyuyuvermek,Çabucak uyumak
uyuyuverme,Uyuyuvermek işi
uyuşabilmek,Uyuşma ihtimali veya imkânı bulunmak
uyuşabilme,Uyuşabilmek işi
uyuşturabilmek,Uyuşturma ihtimali veya imkânı bulunmak
uyuşturabilme,Uyuşturabilmek işi
uyutabilmek,Uyutma ihtimali veya imkânı bulunmak
uyutabilme,Uyutabilmek işi
uyutulabilmek,Uyutulma ihtimali veya imkânı bulunmak
uyutulabilme,Uyutulabilmek işi
uzaklaşabilmek,Uzaklaşma ihtimali veya imkânı bulunmak
uzaklaşabilme,Uzaklaşabilmek işi
